# Omarchy · Personal shortcuts
Super + q | Close window
Super + z | Open Zen browser
Super + n | Open Neovim
Super + g | Open Lazygit
Super + o | Open OpenCode
Super + d | Application launcher
Super + t | Tmux session picker
Super + p | Power menu
Super + / | Personal keybinding cheatsheet
Super + Enter | Open terminal (Omarchy default)
Super + h/j/k/l | Focus left/down/up/right
Print | Screenshot (Omarchy default)
# tmux (prefix: Alt+Tab)
prefix Enter | New window
prefix q | Kill window
prefix v | Split pane vertically
prefix Tab | Toggle last window
prefix h/j/k/l | Select pane left/down/up/right
prefix R | Reload tmux config
# Neovim
Super + n | Open Neovim (Hyprland)
Space + fk | Search all keymaps
i (dashboard) | Open Neovim config information
# Yazi
y | Open Yazi (Terminal)
Space + e | Open Yazi (Neovim)
h / l | Parent / enter directory
j / k | Move down / up
Enter | Open file
Space | Toggle selection
y / x / p | Copy / cut / paste
d / D | Trash / delete
a | Create file or directory
r | Rename
. | Toggle hidden files
/ | Find file
s / S | Search by name / content
z/Z | fzf/ zoxide fzf
# Omarchy menus
Super + d | App launcher
Super + t | Tmux session picker
Super + p | Power menu
